,ChEMBL_ID,INCHI,SMILES,TARGETS,Name,Synonyms,Type,Max_Phase,Molecular_Weight,Bioactivities,AlogP,PSA,HBA,HBD,#RO5_Violations,#Rotatable_Bonds,Passes_Ro3,QED_Weighted,ACD_ApKa,ACD_BpKa,ACD_LogP,ACD_LogD,Aromatic_Rings,Structure_Type,Inorganic_Flag,Heavy_Atoms,HBA_Lipinski,HBD_Lipinski,#RO5_Violations_(Lipinski),Molecular_Weight_(Monoisotopic),Molecular_Formula,image_link
36,CHEMBL441702,"InChI=1S/C24H20N4O2/c1-14-23(24(30)27-19-8-9-21-18(11-19)13-25-28-21)20(12-22(29)26-14)17-7-6-15-4-2-3-5-16(15)10-17/h2-11,13,20H,12H2,1H3,(H,25,28)(H,26,29)(H,27,30)",CC1=C(C(CC(=O)N1)c2ccc3ccccc3c2)C(=O)Nc4ccc5[nH]ncc5c4,ROCK1,GSK-270822A,GSK270822A,Small molecule,0,396.45,473,4.23,86.88,3,3,0,3,N,0.48,12.78,0.9,3.99,3.99,4,MOL,-1,30,6,3,0,396.1586,C24H20N4O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL441702.svg?engine=indigo
37,CHEMBL374453,"InChI=1S/C20H16Cl2N4O2/c1-10-19(20(28)25-13-3-5-17-12(6-13)9-23-26-17)14(8-18(27)24-10)11-2-4-15(21)16(22)7-11/h2-7,9,14H,8H2,1H3,(H,23,26)(H,24,27)(H,25,28)",CC1=C(C(CC(=O)N1)c2ccc(Cl)c(Cl)c2)C(=O)Nc3ccc4[nH]ncc4c3,ROCK1,GSK-299115A,GSK299115A,Small molecule,0,415.28,475,4.39,86.88,3,3,0,3,N,0.59,12.73,0.9,4.19,4.19,3,MOL,-1,28,6,3,0,414.065,C20H16Cl2N4O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL374453.svg?engine=indigo
38,CHEMBL475599,"InChI=1S/C27H24ClFN4O3S3/c1-39(34,35)8-7-30-13-21-10-18(15-37-21)25-12-22-26(31-16-32-27(22)38-25)33-20-5-6-24(23(28)11-20)36-14-17-3-2-4-19(29)9-17/h2-6,9-12,15-16,30H,7-8,13-14H2,1H3,(H,31,32,33)",CS(=O)(=O)CCNCc1cc(cs1)c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2,EGFR/ErbB2,GSK-300014A,GSK300014A,Small molecule,0,603.17,465,6.67,93.21,9,2,2,11,N,0.16,No Data,6.51,5.05,5,5,MOL,-1,39,7,2,2,602.0683,C27H24ClFN4O3S3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL475599.svg?engine=indigo
39,CHEMBL480382,"InChI=1S/C19H17N3O4S2/c1-24-14-6-12-13(7-15(14)25-2)22(10-21-12)17-8-16(18(28-17)19(20)23)26-9-11-4-3-5-27-11/h3-8,10H,9H2,1-2H3,(H2,20,23)",COc1cc2ncn(c3cc(OCc4cccs4)c(s3)C(=O)N)c2cc1OC,PLK1,GSK-312948A,GSK312948A,Small molecule,0,415.5,465,3.84,88.6,8,1,0,7,N,0.5,No Data,3.4,2.08,2.08,4,MOL,-1,28,7,2,0,415.066,C19H17N3O4S2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL480382.svg?engine=indigo
40,CHEMBL493326,"InChI=1S/C21H18ClN3O3S/c1-12(14-5-3-4-6-15(14)22)28-18-10-19(29-20(18)21(23)26)25-11-24-16-8-7-13(27-2)9-17(16)25/h3-12H,1-2H3,(H2,23,26)/t12-/m1/s1",COc1ccc2ncn(c3cc(O[C@H](C)c4ccccc4Cl)c(s3)C(=O)N)c2c1,PLK1,GSK-317314A,GSK317314A,Small molecule,0,427.91,464,4.99,79.37,6,1,0,6,N,0.47,No Data,3.24,2.89,2.89,4,MOL,-1,29,6,2,0,427.0757,C21H18ClN3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL493326.svg?engine=indigo
41,CHEMBL522709,"InChI=1S/C22H18F3N3O3S/c1-12(14-5-3-4-6-15(14)22(23,24)25)31-18-10-19(32-20(18)21(26)29)28-11-27-16-8-7-13(30-2)9-17(16)28/h3-12H,1-2H3,(H2,26,29)/t12-/m1/s1",COc1ccc2ncn(c3cc(O[C@H](C)c4ccccc4C(F)(F)F)c(s3)C(=O)N)c2c1,PLK1,GSK-317315A,GSK317315A,Small molecule,0,461.47,465,5.35,79.37,6,1,1,6,N,0.42,No Data,3.24,2.18,2.18,4,MOL,-1,32,6,2,1,461.1021,C22H18F3N3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL522709.svg?engine=indigo
42,CHEMBL485598,"InChI=1S/C25H18F4N6O/c1-13-21(24(36)33-18-7-8-19-16(10-18)12-31-35-19)22(14-2-5-17(26)6-3-14)34-23(32-13)15-4-9-20(30-11-15)25(27,28)29/h2-12,22H,1H3,(H,31,35)(H,32,34)(H,33,36)",CC1=C(C(N=C(N1)c2ccc(nc2)C(F)(F)F)c3ccc(F)cc3)C(=O)Nc4ccc5[nH]ncc5c4,ROCK1,GSK-317354A,GSK317354A,Small molecule,0,494.45,465,5.12,95.06,5,3,1,4,N,0.34,12.59,4.7,2.98,2.98,4,MOL,-1,36,7,3,1,494.1478,C25H18F4N6O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL485598.svg?engine=indigo
43,CHEMBL373751,"InChI=1S/C22H19N3O5S2/c1-28-17-8-15-16(9-18(17)29-2)25(13-24-15)22-10-19(20(11-23)31-22)30-12-14-6-4-5-7-21(14)32(3,26)27/h4-10,13H,12H2,1-3H3",COc1cc2ncn(c3cc(OCc4ccccc4S(=O)(=O)C)c(C#N)s3)c2cc1OC,IKKe,GSK-319347A,GSK319347A,Small molecule,0,469.54,849,3.96,103.44,9,0,0,7,N,0.4,No Data,3.09,2.69,2.69,4,MOL,-1,32,8,0,0,469.0766,C22H19N3O5S2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL373751.svg?engine=indigo
44,CHEMBL1794068,"InChI=1S/C28H29F3N4O3S/c1-17(20-5-3-4-6-21(20)28(29,30)31)38-24-14-25(39-26(24)27(32)36)35-16-33-22-8-7-19(13-23(22)35)37-15-18-9-11-34(2)12-10-18/h3-8,13-14,16-18H,9-12,15H2,1-2H3,(H2,32,36)/t17-/m1/s1",C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OCC4CCN(C)CC4)cc23)c5ccccc5C(F)(F)F,PLK1,GSK-326090A,GSK326090A,Small molecule,0,558.63,464,6.07,82.61,7,1,2,8,N,0.28,No Data,9.06,2.74,1.09,4,MOL,-1,39,7,2,2,558.1912,C28H29F3N4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794068.svg?engine=indigo
45,CHEMBL218720,"InChI=1S/C22H19F3N4O2/c1-11-16-9-15(7-8-18(16)29-28-11)27-21(31)20-12(2)26-19(30)10-17(20)13-3-5-14(6-4-13)22(23,24)25/h3-9,17H,10H2,1-2H3,(H,26,30)(H,27,31)(H,28,29)",CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3ccc4[nH]nc(C)c4c3,ROCK1,GSK-466314A,GSK466314A,Small molecule,0,428.41,473,4.41,86.88,3,3,0,3,N,0.58,12.96,1.62,3.69,3.69,3,MOL,-1,31,6,3,0,428.146,C22H19F3N4O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL218720.svg?engine=indigo
46,CHEMBL427058,"InChI=1S/C21H16ClF3N4O2/c1-10-18(20(31)28-14-6-12-9-26-29-19(12)16(22)7-14)15(8-17(30)27-10)11-2-4-13(5-3-11)21(23,24)25/h2-7,9,15H,8H2,1H3,(H,26,29)(H,27,30)(H,28,31)",CC1=C(C(CC(=O)N1)c2ccc(cc2)C(F)(F)F)C(=O)Nc3cc(Cl)c4[nH]ncc4c3,ROCK1,GSK-466317A,GSK466317A,Small molecule,0,448.83,476,4.75,86.88,3,3,0,3,N,0.54,11.54,No Data,4.53,4.53,3,MOL,-1,31,6,3,0,448.0914,C21H16ClF3N4O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL427058.svg?engine=indigo
47,CHEMBL1794065,"InChI=1S/C21H27N7O3.C2HF3O2/c1-4-28-18-15(30-12-13-6-9-23-10-7-13)11-24-14(5-8-21(2,3)29)16(18)25-20(28)17-19(22)27-31-26-17;3-2(4,5)1(6)7/h11,13,23,29H,4,6-7,9-10,12H2,1-3H3,(H2,22,27);(H,6,7)",CCn1c(nc2c(ncc(OCC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,AKT1,GSK-554170A,GSK554170A,Small molecule,0,539.52,467,1.58,137.14,10,3,0,5,N,0.52,13.11,10.25,1.92,-0.74,3,MOL,-1,31,10,4,0,425.2175,C23H28F3N7O5,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794065.svg?engine=indigo
48,CHEMBL1794064,"InChI=1S/C16H20N8O2.C2HF3O2/c1-2-24-14-11(25-8-4-7-18)9-20-10(5-3-6-17)12(14)21-16(24)13-15(19)23-26-22-13;3-2(4,5)1(6)7/h9H,2,4,6-8,17-18H2,1H3,(H2,19,23);(H,6,7)",CCn1c(nc2c(ncc(OCCCN)c12)C#CCN)c3nonc3N.OC(=O)C(F)(F)F,AKT1,GSK-561866B,GSK561866B,Small molecule,0,470.41,464,0.12,156.92,10,3,0,6,N,0.41,No Data,9.18,0.32,-1.92,3,MOL,-1,26,10,6,1,356.1709,C18H21F3N8O4,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794064.svg?engine=indigo
49,CHEMBL1794069,"InChI=1S/C27H29ClN4O3S/c1-17(20-5-3-4-6-21(20)28)35-24-14-25(36-26(24)27(29)33)32-16-30-22-8-7-19(13-23(22)32)34-15-18-9-11-31(2)12-10-18/h3-8,13-14,16-18H,9-12,15H2,1-2H3,(H2,29,33)/t17-/m1/s1",C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OCC4CCN(C)CC4)cc23)c5ccccc5Cl,PLK1,GSK-571989A,GSK571989A,Small molecule,0,525.07,464,5.7,82.61,7,1,2,8,N,0.32,No Data,9.06,3.45,1.8,4,MOL,-1,36,7,2,2,524.1649,C27H29ClN4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794069.svg?engine=indigo
50,CHEMBL1794070,"InChI=1S/C26H27ClN4O3S/c1-16(19-5-3-4-6-20(19)27)33-23-14-24(35-25(23)26(28)32)31-15-29-21-8-7-18(13-22(21)31)34-17-9-11-30(2)12-10-17/h3-8,13-17H,9-12H2,1-2H3,(H2,28,32)/t16-/m1/s1",C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OC4CCN(C)CC4)cc23)c5ccccc5Cl,PLK1,GSK-579289A,GSK579289A,Small molecule,0,511.05,484,5.45,82.61,7,1,2,7,N,0.36,No Data,8.23,2.72,1.85,4,MOL,-1,35,7,2,2,510.1492,C26H27ClN4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794070.svg?engine=indigo
51,CHEMBL230597,"InChI=1S/C20H19N3O3S/c1-27(25,26)23-16-9-7-14(8-10-16)17-11-15(13-5-3-2-4-6-13)12-18(19(17)21)20(22)24/h2-12,23H,21H2,1H3,(H2,22,24)",CS(=O)(=O)Nc1ccc(cc1)c2cc(cc(C(=O)N)c2N)c3ccccc3,IKKa/IKKb,GSK-586581A,GSK586581A,Small molecule,0,381.46,467,3.07,115.28,4,3,0,5,N,0.59,8.17,2.33,1.64,1.57,3,MOL,-1,27,6,5,0,381.1147,C20H19N3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL230597.svg?engine=indigo
52,CHEMBL231013,"InChI=1S/C13H12N2O2/c1-17-12-3-2-10(8-11(12)13(14)16)9-4-6-15-7-5-9/h2-8H,1H3,(H2,14,16)",COc1ccc(cc1C(=O)N)c2ccncc2,IKKa/IKKb,GSK-605714A,GSK605714A,Small molecule,0,228.25,466,1.86,65.21,3,1,0,3,N,0.87,No Data,5.45,0.11,0.11,2,MOL,-1,17,4,2,0,228.0899,C13H12N2O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL231013.svg?engine=indigo
53,CHEMBL1909375,"InChI=1S/C20H25N7O3.C2HF3O2/c1-4-27-17-14(29-11-12-6-5-9-22-12)10-23-13(7-8-20(2,3)28)15(17)24-19(27)16-18(21)26-30-25-16;3-2(4,5)1(6)7/h10,12,22,28H,4-6,9,11H2,1-3H3,(H2,21,26);(H,6,7)/t12-;/m0./s1",CCn1c(nc2c(ncc(OC[C@@H]3CCCN3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,AKT1,GSK-614526A,GSK614526A,Small molecule,0,525.49,459,1.34,137.14,10,3,0,5,N,0.53,13.11,9.78,1.69,-0.6,3,MOL,-1,30,10,4,0,411.2019,C22H26F3N7O5,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909375.svg?engine=indigo
54,CHEMBL1794066,"InChI=1S/C20H25N7O3.C2HF3O2/c1-4-27-17-14(29-12-6-9-22-10-7-12)11-23-13(5-8-20(2,3)28)15(17)24-19(27)16-18(21)26-30-25-16;3-2(4,5)1(6)7/h11-12,22,28H,4,6-7,9-10H2,1-3H3,(H2,21,26);(H,6,7)",CCn1c(nc2c(ncc(OC3CCNCC3)c12)C#CC(C)(C)O)c4nonc4N.OC(=O)C(F)(F)F,AKT1,GSK-619487A,GSK619487A,Small molecule,0,525.49,468,1.34,137.14,10,3,0,4,N,0.54,13.11,9.46,2.42,0.4,3,MOL,-1,30,10,4,0,411.2019,C22H26F3N7O5,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794066.svg?engine=indigo
55,CHEMBL231623,"InChI=1S/C18H14FN3O/c19-14-3-1-11(2-4-14)13-9-15(12-5-7-22-8-6-12)17(20)16(10-13)18(21)23/h1-10H,20H2,(H2,21,23)",NC(=O)c1cc(cc(c1N)c2ccncc2)c3ccc(F)cc3,IKKa/IKKb,GSK-620503A,GSK620503A,Small molecule,0,307.33,464,3.24,82,3,2,0,3,N,0.73,No Data,2.32,1.2,1.2,3,MOL,-1,23,4,4,0,307.1121,C18H14FN3O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL231623.svg?engine=indigo
56,CHEMBL230911,"InChI=1S/C18H15N3O/c19-17-15(13-4-2-1-3-5-13)10-14(11-16(17)18(20)22)12-6-8-21-9-7-12/h1-11H,19H2,(H2,20,22)",NC(=O)c1cc(cc(c1N)c2ccccc2)c3ccncc3,IKKa/IKKb,GSK-625137A,GSK625137A,Small molecule,0,289.34,467,3.1,82,3,2,0,3,N,0.73,No Data,4.64,1.27,1.27,3,MOL,-1,22,4,4,0,289.1215,C18H15N3O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL230911.svg?engine=indigo
57,CHEMBL230592,"InChI=1S/C24H24FN3O3S/c1-27-24(29)22-15-18(16-4-8-19(25)9-5-16)14-21(23(22)26)17-6-10-20(11-7-17)32(30,31)28-12-2-3-13-28/h4-11,14-15H,2-3,12-13,26H2,1H3,(H,27,29)",CNC(=O)c1cc(cc(c1N)c2ccc(cc2)S(=O)(=O)N3CCCC3)c4ccc(F)cc4,IKKa/IKKb,GSK-635416A,GSK635416A,Small molecule,0,453.54,466,3.89,92.5,4,2,0,5,N,0.57,11.13,1.49,3.71,3.71,3,MOL,-1,32,6,3,0,453.1522,C24H24FN3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL230592.svg?engine=indigo
58,CHEMBL268885,"InChI=1S/C20H17ClN2O4S/c1-27-19-17(13-4-8-16(9-5-13)28(23,25)26)10-14(11-18(19)20(22)24)12-2-6-15(21)7-3-12/h2-11H,1H3,(H2,22,24)(H2,23,25,26)",COc1c(cc(cc1c2ccc(cc2)S(=O)(=O)N)c3ccc(Cl)cc3)C(=O)N,IKKa/IKKb,GSK-711701A,GSK711701A,Small molecule,0,416.89,466,3.43,112.48,4,2,0,5,N,0.66,9.61,No Data,1.32,1.32,3,MOL,-1,28,6,4,0,416.0598,C20H17ClN2O4S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL268885.svg?engine=indigo
59,CHEMBL505187,"InChI=1S/C32H28N6O2/c1-2-38-20-29(27-15-17-33-31-28(27)16-18-34-31)30(37-38)23-9-6-10-25(19-23)36-32(39)35-24-11-13-26(14-12-24)40-21-22-7-4-3-5-8-22/h3-20H,2,21H2,1H3,(H,33,34)(H2,35,36,39)",CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5ccc(OCc6ccccc6)cc5)c4,b-RAF,GSK-718429A,GSK718429A,Small molecule,0,528.62,464,7.34,96.86,5,3,2,8,N,0.19,13.38,4.03,5.36,5.36,6,MOL,-1,40,8,3,2,528.2274,C32H28N6O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL505187.svg?engine=indigo
60,CHEMBL1096626,"InChI=1S/C23H25N7O3/c1-4-30-17-12-18(32-13-15(24)14-8-6-5-7-9-14)26-16(10-11-23(2,3)31)19(17)27-22(30)20-21(25)29-33-28-20/h5-9,12,15,31H,4,13,24H2,1-3H3,(H2,25,29)/t15-/m1/s1",CCn1c(nc2c(nc(OC[C@@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N,AKT1,GSK-938890A,GSK938890A,Small molecule,0,447.5,467,2.28,151.13,10,3,0,6,N,0.38,13.11,7.63,2.63,2.34,4,MOL,-1,33,10,5,0,447.2019,C23H25N7O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1096626.svg?engine=indigo
61,CHEMBL1096634,"InChI=1S/C23H25N7O3/c1-4-30-17-12-18(32-13-15(24)14-8-6-5-7-9-14)26-16(10-11-23(2,3)31)19(17)27-22(30)20-21(25)29-33-28-20/h5-9,12,15,31H,4,13,24H2,1-3H3,(H2,25,29)/t15-/m0/s1",CCn1c(nc2c(nc(OC[C@H](N)c3ccccc3)cc12)C#CC(C)(C)O)c4nonc4N,AKT1,GSK-943949A,GSK943949A,Small molecule,0,447.5,467,2.28,151.13,10,3,0,6,N,0.38,13.11,7.63,2.63,2.34,4,MOL,-1,33,10,5,0,447.2019,C23H25N7O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1096634.svg?engine=indigo
62,CHEMBL1909350,"InChI=1S/C18H23N7O3.ClH/c1-5-25-12-10-13(27-9-8-20-4)21-11(6-7-18(2,3)26)14(12)22-17(25)15-16(19)24-28-23-15;/h10,20,26H,5,8-9H2,1-4H3,(H2,19,24);1H",Cl.CCn1c(nc2c(nc(OCCNC)cc12)C#CC(C)(C)O)c3nonc3N,AKT1,GSK-949675A,GSK949675A,Small molecule,0,421.89,459,0.8,137.14,10,3,0,6,N,0.42,13.11,8.7,1.94,0.76,3,MOL,-1,28,10,4,0,385.1862,C18H24ClN7O3,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909350.svg?engine=indigo
63,CHEMBL483748,"InChI=1S/C22H18N2O3S/c23-28(25,26)20-8-6-17(7-9-20)21-12-18-10-11-24-14-19(18)13-22(21)27-15-16-4-2-1-3-5-16/h1-14H,15H2,(H2,23,25,26)",NS(=O)(=O)c1ccc(cc1)c2cc3ccncc3cc2OCc4ccccc4,IKKb,GSK-953913A,GSK953913A,Small molecule,0,390.46,466,4.13,82.28,4,1,0,5,N,0.56,9.85,5,2.57,2.56,4,MOL,-1,28,5,2,0,390.1038,C22H18N2O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL483748.svg?engine=indigo
64,CHEMBL514938,"InChI=1S/C23H15ClFN3O2S/c24-18-10-16(6-7-19(18)30-12-14-3-1-4-15(25)9-14)28-22-17-11-21(20-5-2-8-29-20)31-23(17)27-13-26-22/h1-11,13H,12H2,(H,26,27,28)",Fc1cccc(COc2ccc(Nc3ncnc4sc(cc34)c5occc5)cc2Cl)c1,EGFR/ErbB2,GSK-969786A,GSK969786A,Small molecule,0,451.91,466,7.07,60.18,6,1,1,6,N,0.3,No Data,5.08,5.98,5.98,5,MOL,-1,31,5,1,1,451.0558,C23H15ClFN3O2S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL514938.svg?engine=indigo
65,CHEMBL1794067,"InChI=1S/C23H22ClN3O5S/c1-13(16-4-2-3-5-17(16)24)32-20-9-21(33-22(20)23(25)30)27-12-26-18-7-6-15(8-19(18)27)31-11-14(29)10-28/h2-9,12-14,28-29H,10-11H2,1H3,(H2,25,30)/t13-,14+/m1/s1",C[C@@H](Oc1cc(sc1C(=O)N)n2cnc3ccc(OC[C@@H](O)CO)cc23)c4ccccc4Cl,PLK1,GSK-978744A,GSK978744A,Small molecule,0,487.97,464,3.71,119.83,8,3,0,9,N,0.33,13.44,3.14,1.66,1.66,4,MOL,-1,33,8,4,0,487.0969,C23H22ClN3O5S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794067.svg?engine=indigo
66,CHEMBL483747,"InChI=1S/C22H18N2O3S/c23-28(25,26)20-8-4-7-18(11-20)21-12-17-9-10-24-14-19(17)13-22(21)27-15-16-5-2-1-3-6-16/h1-14H,15H2,(H2,23,25,26)",NS(=O)(=O)c1cccc(c1)c2cc3ccncc3cc2OCc4ccccc4,IKKb,GSK-980961A,GSK980961A,Small molecule,0,390.46,467,4.13,82.28,4,1,0,5,N,0.56,9.86,5.2,2.68,2.67,4,MOL,-1,28,5,2,0,390.1038,C22H18N2O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL483747.svg?engine=indigo
67,CHEMBL513897,"InChI=1S/C28H31N7O/c1-3-14-35-15-6-7-20(17-35)19-10-11-23(18(2)16-19)32-28-33-26-22(12-13-30-26)27(34-28)31-24-9-5-4-8-21(24)25(29)36/h4-5,7-13,16H,3,6,14-15,17H2,1-2H3,(H2,29,36)(H3,30,31,32,33,34)",CCCN1CCC=C(C1)c2ccc(Nc3nc(Nc4ccccc4C(=O)N)c5cc[nH]c5n3)c(C)c2,IGF-1R,GSK-994854A,GSK994854A,Small molecule,0,481.6,466,5.35,111.96,6,4,1,8,N,0.27,13.46,8.73,5.53,3.97,4,MOL,-1,36,8,5,1,481.259,C28H31N7O,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL513897.svg?engine=indigo
68,CHEMBL1794059,"InChI=1S/C15H13N3O3S/c16-22(20,21)11-5-3-4-10(8-11)17-9-13-12-6-1-2-7-14(12)18-15(13)19/h1-9,17H,(H,18,19)(H2,16,20,21)/b13-9-",NS(=O)(=O)c1cccc(N\C=C\2/C(=O)Nc3ccccc23)c1,TRKA,GW275616X,GW275616X,Small molecule,0,315.35,463,1.74,101.29,4,3,0,3,N,0.75,10.14,0.06,0.95,0.95,2,MOL,-1,22,6,4,0,315.0678,C15H13N3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794059.svg?engine=indigo
69,CHEMBL271843,"InChI=1S/C15H14N4O3S/c1-9-2-7-13-12(8-9)14(15(20)17-13)19-18-10-3-5-11(6-4-10)23(16,21)22/h2-8,18H,1H3,(H2,16,21,22)(H,17,19,20)",Cc1ccc2NC(=O)\C(=N/Nc3ccc(cc3)S(=O)(=O)N)\c2c1,CDK2,GW275944X,GW275944X,Small molecule,0,330.37,469,1.41,113.65,5,3,0,3,N,0.74,9.69,No Data,2.02,2.01,2,MOL,-1,23,7,4,0,330.0787,C15H14N4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL271843.svg?engine=indigo
70,CHEMBL269827,"InChI=1S/C17H13N5O4S/c18-27(24,25)12-4-2-11(3-5-12)21-22-16-13-7-10(15-8-19-9-26-15)1-6-14(13)20-17(16)23/h1-9,21H,(H2,18,24,25)(H,20,22,23)",NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(cc23)c4ocnc4)cc1,CDK2,GW276655X,GW276655X,Small molecule,0,383.39,469,1.76,139.68,7,3,0,4,N,0.59,8.83,0.05,1.86,1.84,3,MOL,-1,27,9,4,0,383.0688,C17H13N5O4S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL269827.svg?engine=indigo
71,CHEMBL1794058,"InChI=1S/C16H15N3O3S/c1-23(21,22)19-12-8-6-11(7-9-12)17-10-14-13-4-2-3-5-15(13)18-16(14)20/h2-10,17,19H,1H3,(H,18,20)/b14-10-",CS(=O)(=O)Nc1ccc(N\C=C\2/C(=O)Nc3ccccc23)cc1,TRKA,GW278681X,GW278681X,Small molecule,0,329.38,463,2.46,87.3,4,3,0,4,N,0.75,9.04,0.11,1.4,1.38,2,MOL,-1,23,6,3,0,329.0834,C16H15N3O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1794058.svg?engine=indigo
72,CHEMBL1909397,"InChI=1S/C15H13ClN4O3S/c1-8-6-9(16)7-12-13(8)18-15(21)14(12)20-19-10-2-4-11(5-3-10)24(17,22)23/h2-7,19H,1H3,(H2,17,22,23)(H,18,20,21)",Cc1cc(Cl)cc2C(=NNc3ccc(cc3)S(=O)(=O)N)C(=O)Nc12,CDK2,GW279320X,GW279320X,Small molecule,0,364.81,460,2.06,113.65,5,3,0,3,N,0.72,8.76,No Data,2.61,2.54,2,MOL,-1,24,7,4,0,364.0397,C15H13ClN4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909397.svg?engine=indigo
73,CHEMBL270054,"InChI=1S/C14H11ClN4O3S/c15-8-1-6-12-11(7-8)13(14(20)17-12)19-18-9-2-4-10(5-3-9)23(16,21)22/h1-7,18H,(H2,16,21,22)(H,17,19,20)",NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(Cl)cc23)cc1,CDK2,GW280670X,GW280670X,Small molecule,0,350.79,469,1.76,113.65,5,3,0,3,N,0.73,8.74,No Data,2.16,2.08,2,MOL,-1,23,7,4,0,350.024,C14H11ClN4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL270054.svg?engine=indigo
74,CHEMBL1909380,"InChI=1S/C24H21N5O2.ClH/c1-30-22-11-19-20(12-23(22)31-2)25-15-26-24(19)28-18-8-9-21-17(10-18)13-27-29(21)14-16-6-4-3-5-7-16;/h3-13,15H,14H2,1-2H3,(H,25,26,28);1H",Cl.COc1cc2ncnc(Nc3ccc4c(cnn4Cc5ccccc5)c3)c2cc1OC,EGFR/ErbB2,GW282449A,GW282449A,Small molecule,0,447.93,459,4.79,74.09,7,1,0,6,N,0.43,No Data,5.56,3.82,3.81,5,MOL,-1,31,7,1,0,411.1695,C24H22ClN5O2,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909380.svg?engine=indigo
75,CHEMBL1909398,"InChI=1S/C15H14N4O3S/c1-9-3-2-4-12-13(9)17-15(20)14(12)19-18-10-5-7-11(8-6-10)23(16,21)22/h2-8,18H,1H3,(H2,16,21,22)(H,17,19,20)",Cc1cccc2\C(=N\Nc3ccc(cc3)S(=O)(=O)N)\C(=O)Nc12,CDK2,GW282536X,GW282536X,Small molecule,0,330.37,464,1.41,113.65,5,3,0,3,N,0.74,9.64,No Data,1.99,1.97,2,MOL,-1,23,7,4,0,330.0787,C15H14N4O3S,https://www.ebi.ac.uk/chembl/api/data/image/CHEMBL1909398.svg?engine=indigo
